"CBT",".",".",".",".","0.13 (-0.57 to  0.82)","-0.55 (-0.99 to -0.11)","-0.52 (-0.97 to -0.07)","-0.62 (-1.34 to  0.10)","."
"-0.11 (-0.97 to  0.75)","CBT + TAU",".",".",".",".",".",".","-0.50 (-0.97 to -0.04)","."
"0.84 (-0.30 to  1.97)","0.95 (-0.47 to  2.37)","cognitive remediation",".",".",".",".",".",".","-1.71 (-2.41 to -1.01)"
"0.19 (-0.60 to  0.98)","0.30 (-0.86 to  1.47)","-0.65 (-1.46 to  0.17)","mindfulness",".","-0.06 (-0.43 to  0.31)",".",".",".","-1.07 (-1.49 to -0.65)"
"-0.18 (-1.00 to  0.64)","-0.07 (-0.67 to  0.54)","-1.02 (-2.42 to  0.38)","-0.37 (-1.51 to  0.76)","mindfulness + TAU",".",".",".","-0.44 (-0.82 to -0.05)","."
"0.13 (-0.57 to  0.82)","0.24 (-0.87 to  1.34)","-0.71 (-1.61 to  0.18)","-0.06 (-0.43 to  0.31)","0.31 (-0.77 to  1.38)","psychoeducation",".",".",".","."
"-0.55 (-0.99 to -0.11)","-0.44 (-1.40 to  0.53)","-1.39 (-2.60 to -0.17)","-0.74 (-1.64 to  0.16)","-0.37 (-1.30 to  0.56)","-0.68 (-1.50 to  0.15)","psychological placebo",".",".","."
"-0.52 (-0.97 to -0.07)","-0.41 (-1.38 to  0.56)","-1.36 (-2.58 to -0.14)","-0.71 (-1.62 to  0.20)","-0.34 (-1.27 to  0.59)","-0.65 (-1.48 to  0.18)","0.03 (-0.60 to  0.66)","relaxation therapy",".","."
"-0.62 (-1.34 to  0.10)","-0.50 (-0.97 to -0.04)","-1.45 (-2.80 to -0.11)","-0.81 (-1.87 to  0.26)","-0.44 (-0.82 to -0.05)","-0.74 (-1.74 to  0.26)","-0.07 (-0.91 to  0.78)","-0.09 (-0.95 to  0.76)","TAU","."
"-0.88 (-1.77 to  0.02)","-0.76 (-2.00 to  0.48)","-1.71 (-2.41 to -1.01)","-1.07 (-1.49 to -0.65)","-0.70 (-1.90 to  0.51)","-1.00 (-1.56 to -0.44)","-0.33 (-1.32 to  0.67)","-0.35 (-1.35 to  0.65)","-0.26 (-1.41 to  0.89)","waiting list"
