"CBT","-6.91 (-11.75, -2.08)","3.83 (-5.23, 12.96)","-10.5 (-27.58, 6.59)","-10.2 (-27.01, 6.64)","-2.37 (-6.24, 1.68)","9.1 (-1.39, 19.56)","-8.78 (-25.87, 8.41)","-3.73 (-7.47, 0.12)","6.52 (-2.35, 15.37)","3.32 (-10.52, 17.2)","-1.39 (-16.4, 13.53)","-3.33 (-7.72, 1.18)","2.56 (-1.25, 6.49)","-3.55 (-17.97, 10.64)","9.14 (1.53, 16.73)","3.93 (1.32, 6.91)"
"6.91 (2.08, 11.75)","CBT_and_stimulants","10.73 (0.51, 21.08)","-3.6 (-21.3, 14.1)","-3.27 (-20.73, 14.17)","4.54 (-1.6, 10.87)","16.01 (4.51, 27.46)","-1.85 (-19.6, 15.97)","3.17 (-2.9, 9.39)","13.42 (3.32, 23.57)","10.24 (-4.44, 24.93)","5.53 (-10.23, 21.22)","3.59 (-2.91, 10.2)","9.47 (3.36, 15.71)","3.37 (-11.85, 18.35)","16.04 (7.08, 25.09)","10.83 (5.46, 16.65)"
"-3.83 (-12.96, 5.23)","-10.73 (-21.08, -0.51)","CBT_and_TAU","-14.35 (-33.74, 4.99)","-14.03 (-33.21, 5.08)","-6.21 (-16.09, 3.7)","5.25 (-3.5, 13.96)","-12.61 (-31.92, 6.79)","-7.57 (-17.39, 2.31)","2.68 (-4.11, 9.38)","-0.52 (-17.04, 16.07)","-5.22 (-22.76, 12.18)","-7.16 (-17.27, 2.97)","-1.27 (-11.19, 8.58)","-7.41 (-24.41, 9.4)","5.28 (0.29, 10.24)","0.13 (-9.32, 9.67)"
"10.5 (-6.59, 27.58)","3.6 (-14.1, 21.3)","14.35 (-4.99, 33.74)","cognitive_placebo","0.33 (-2.59, 3.21)","8.15 (-9.35, 25.7)","19.6 (-0.46, 39.55)","1.76 (-15.86, 19.32)","6.78 (-10.73, 24.29)","17.03 (-2.28, 36.18)","13.86 (-8.09, 35.89)","9.13 (-6.16, 24.49)","7.2 (-10.5, 24.81)","13.09 (-4.48, 30.58)","6.97 (-15.38, 29.19)","19.64 (0.88, 38.31)","14.48 (-2.8, 31.82)"
"10.2 (-6.64, 27.01)","3.27 (-14.17, 20.73)","14.03 (-5.08, 33.21)","-0.33 (-3.21, 2.59)","cognitive_training","7.83 (-9.45, 25.13)","19.28 (-0.53, 39.11)","1.44 (-15.94, 18.79)","6.47 (-10.8, 23.73)","16.71 (-2.38, 35.69)","13.55 (-8.18, 35.32)","8.79 (-6.21, 23.89)","6.88 (-10.56, 24.26)","12.76 (-4.56, 30.04)","6.63 (-15.5, 28.73)","19.3 (0.81, 37.78)","14.16 (-2.9, 31.23)"
"2.37 (-1.68, 6.24)","-4.54 (-10.87, 1.6)","6.21 (-3.7, 16.09)","-8.15 (-25.7, 9.35)","-7.83 (-25.13, 9.45)","DBT","11.47 (0.23, 22.57)","-6.44 (-23.98, 11.19)","-1.37 (-6.21, 3.49)","8.89 (-0.86, 18.54)","5.68 (-8.68, 20.01)","0.96 (-14.54, 16.43)","-0.95 (-6.49, 4.57)","4.94 (-0.4, 10.25)","-1.19 (-16.11, 13.49)","11.51 (2.87, 19.95)","6.3 (2.45, 10.38)"
"-9.1 (-19.56, 1.39)","-16.01 (-27.46, -4.51)","-5.25 (-13.96, 3.5)","-19.6 (-39.55, 0.46)","-19.28 (-39.11, 0.53)","-11.47 (-22.57, -0.23)","DBT_and_TAU","-17.89 (-37.84, 2.3)","-12.84 (-23.93, -1.62)","-2.58 (-11.05, 5.92)","-5.79 (-23.14, 11.69)","-10.49 (-28.75, 7.67)","-12.41 (-23.77, -0.97)","-6.53 (-17.67, 4.71)","-12.71 (-30.37, 5.07)","0.03 (-7.11, 7.23)","-5.14 (-15.9, 5.81)"
"8.78 (-8.41, 25.87)","1.85 (-15.97, 19.6)","12.61 (-6.79, 31.92)","-1.76 (-19.32, 15.86)","-1.44 (-18.79, 15.94)","6.44 (-11.19, 23.98)","17.89 (-2.3, 37.84)","hypnotherapy","5.07 (-12.55, 22.53)","15.31 (-4.03, 34.58)","12.09 (-10.07, 34.24)","7.41 (-8.27, 23.02)","5.46 (-12.24, 23.12)","11.37 (-6.28, 28.88)","5.12 (-17.28, 27.68)","17.91 (-0.89, 36.57)","12.75 (-4.66, 30.07)"
"3.73 (-0.12, 7.47)","-3.17 (-9.39, 2.9)","7.57 (-2.31, 17.39)","-6.78 (-24.29, 10.73)","-6.47 (-23.73, 10.8)","1.37 (-3.49, 6.21)","12.84 (1.62, 23.93)","-5.07 (-22.53, 12.55)","mindfulness","10.25 (0.53, 19.84)","7.05 (-7.27, 21.34)","2.32 (-13.09, 17.73)","0.42 (-3.06, 3.84)","6.3 (1.26, 11.35)","0.16 (-14.71, 14.82)","12.86 (4.34, 21.3)","7.67 (4.8, 10.78)"
"-6.52 (-15.37, 2.35)","-13.42 (-23.57, -3.32)","-2.68 (-9.38, 4.11)","-17.03 (-36.18, 2.28)","-16.71 (-35.69, 2.38)","-8.89 (-18.54, 0.86)","2.58 (-5.92, 11.05)","-15.31 (-34.58, 4.03)","-10.25 (-19.84, -0.53)","mindfulness_and_TAU","-3.23 (-19.58, 13.25)","-7.93 (-25.21, 9.46)","-9.84 (-19.69, 0.14)","-3.96 (-13.57, 5.79)","-10.1 (-26.94, 6.65)","2.61 (-2.02, 7.22)","-2.58 (-11.74, 6.86)"
"-3.32 (-17.2, 10.52)","-10.24 (-24.93, 4.44)","0.52 (-16.07, 17.04)","-13.86 (-35.89, 8.09)","-13.55 (-35.32, 8.18)","-5.68 (-20.01, 8.68)","5.79 (-11.69, 23.14)","-12.09 (-34.24, 10.07)","-7.05 (-21.34, 7.27)","3.23 (-13.25, 19.58)","neurofeedback","-4.7 (-25.13, 15.6)","-6.63 (-21.1, 7.87)","-0.74 (-15.12, 13.59)","-6.95 (-20.21, 6.48)","5.82 (-10.04, 21.55)","0.65 (-13.45, 14.77)"
