"CBT","0.40 (0.08 to   2.15)",".",".","0.14 (0.01 to   3.59)",".",".",".",".","0.92 (0.13 to   6.66)",".","2.73 (0.32 to  23.46)","0.31 (0.07 to   1.36)","0.45 (0.07 to   2.74)","0.95 (0.13 to   6.85)","0.94 (0.02 to  57.95)","1.30 (0.57 to   2.98)"
"0.40 (0.08 to    2.15)","CBT + stimulants",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.54 (0.02 to  118.30)","3.80 (0.04 to  398.53)","CBT + TAU",".",".",".",".",".",".",".",".",".",".",".",".","0.61 (0.16 to   2.39)","."
"0.47 (0.01 to   15.90)","1.17 (0.02 to   57.25)","0.31 (0.00 to   82.11)","cognitive remediation",".",".",".",".",".",".",".",".",".",".",".",".","2.87 (0.09 to  88.17)"
"0.51 (0.11 to    2.39)","1.25 (0.13 to   12.23)","0.33 (0.00 to   33.17)","1.07 (0.03 to   43.77)","DBT",".",".",".",".",".",".",".",".",".",".",".","1.98 (0.41 to   9.56)"
"0.29 (0.00 to   38.33)","0.72 (0.00 to  125.01)","0.19 (0.01 to    3.61)","0.61 (0.00 to  251.24)","0.57 (0.00 to   96.01)","DBT + TAU",".",".",".",".",".",".",".",".",".","3.23 (0.24 to  44.14)","."
"0.04 (0.00 to    6.78)","0.10 (0.00 to   21.83)","0.03 (0.00 to    0.74)","0.08 (0.00 to   42.42)","0.08 (0.00 to   16.80)","0.14 (0.00 to    7.72)","GMT + TAU",".",".",".",".",".",".",".",".","23.68 (1.10 to 511.71)","."
"1.05 (0.22 to    4.99)","2.60 (0.26 to   25.49)","0.68 (0.01 to   68.88)","2.22 (0.05 to   93.56)","2.07 (0.27 to   16.10)","3.61 (0.02 to  607.04)","26.48 (0.12 to 5703.71)","mindfulness",".",".",".","0.67 (0.21 to   2.15)",".",".",".",".","2.81 (0.44 to  17.97)"
"0.04 (0.00 to    7.14)","0.10 (0.00 to   23.00)","0.03 (0.00 to    0.78)","0.09 (0.00 to   44.73)","0.08 (0.00 to   17.70)","0.14 (0.00 to    8.11)","1.06 (0.01 to   81.18)","0.04 (0.00 to    8.57)","mindfulness + TAU",".",".",".",".",".",".","22.32 (1.05 to 476.54)","."
"0.92 (0.13 to    6.66)","2.28 (0.17 to   30.32)","0.60 (0.01 to   70.76)","1.94 (0.03 to  109.68)","1.82 (0.15 to   22.41)","3.17 (0.02 to  614.16)","23.21 (0.09 to 5733.54)","0.88 (0.07 to   10.89)","21.88 (0.09 to 5368.38)","neurofeedback",".",".",".",".","1.03 (0.14 to   7.45)",".","."
"0.75 (0.10 to    5.71)","1.86 (0.14 to   25.70)","0.49 (0.00 to   59.06)","1.59 (0.03 to   78.85)","1.49 (0.14 to   15.57)","2.59 (0.01 to  511.64)","19.01 (0.08 to 4772.92)","0.72 (0.07 to    7.91)","17.92 (0.07 to 4469.02)","0.82 (0.05 to   13.89)","physical training",".",".",".",".",".","1.80 (0.28 to  11.66)"
