"CBT","0.96 (-3.18, 5.12)","29.34 (0.21, 99.04)","1.52 (-1.56, 5.98)","0.67 (-2.22, 4.05)","0.09 (-4.21, 4.38)","0.4 (-4.21, 5.25)","0.51 (-2.62, 3.87)","1.21 (-2.87, 5.26)","1.14 (-3.13, 5.51)","0.05 (-4.24, 4.35)","-0.26 (-2.26, 1.99)"
"-0.96 (-5.12, 3.18)","CBT_and_stimulants","28.43 (-1.17, 98.21)","0.55 (-4.4, 6.81)","-0.29 (-5.26, 5.16)","-0.88 (-6.9, 5.1)","-0.56 (-6.77, 5.85)","-0.45 (-5.61, 4.93)","0.25 (-5.54, 6.04)","0.17 (-5.74, 6.19)","-0.91 (-6.9, 5.05)","-1.22 (-5.77, 3.56)"
"-29.34 (-99.04, -0.21)","-28.43 (-98.21, 1.17)","cognitive_remediation","-27.63 (-97.5, 1.74)","-28.6 (-98.38, 0.62)","-29.28 (-99.05, 0.34)","-28.87 (-98.88, 0.61)","-28.79 (-98.5, 0.48)","-28.15 (-97.94, 1.42)","-28.21 (-97.98, 1.43)","-29.27 (-99.1, 0.34)","-29.51 (-99.26, -0.57)"
"-1.52 (-5.98, 1.56)","-0.55 (-6.81, 4.4)","27.63 (-1.74, 97.5)","DBT","-0.86 (-5.63, 3.13)","-1.45 (-7.79, 3.67)","-1.12 (-7.1, 3.89)","-1.03 (-6.17, 3.09)","-0.29 (-6.54, 4.58)","-0.39 (-6.73, 4.78)","-1.48 (-7.81, 3.64)","-1.78 (-5.82, 1.2)"
"-0.67 (-4.05, 2.22)","0.29 (-5.16, 5.26)","28.6 (-0.62, 98.38)","0.86 (-3.13, 5.63)","mindfulness","-0.59 (-6.14, 4.51)","-0.26 (-5.43, 4.66)","-0.16 (-2.91, 2.35)","0.55 (-4.83, 5.43)","0.48 (-5.06, 5.65)","-0.62 (-6.15, 4.48)","-0.91 (-3.84, 1.7)"
"-0.09 (-4.38, 4.21)","0.88 (-5.1, 6.9)","29.28 (-0.34, 99.05)","1.45 (-3.67, 7.79)","0.59 (-4.51, 6.14)","neurofeedback","0.33 (-5.93, 6.84)","0.43 (-4.86, 5.93)","1.13 (-4.77, 7.02)","1.06 (-5.01, 7.15)","-0.02 (-4.32, 4.25)","-0.33 (-5.02, 4.56)"
"-0.4 (-5.25, 4.21)","0.56 (-5.85, 6.77)","28.87 (-0.61, 98.88)","1.12 (-3.89, 7.1)","0.26 (-4.66, 5.43)","-0.33 (-6.84, 5.93)","physical_training","0.09 (-5.22, 5.4)","0.8 (-5.55, 6.91)","0.73 (-5.74, 7.05)","-0.36 (-6.85, 5.91)","-0.66 (-4.9, 3.55)"
"-0.51 (-3.87, 2.62)","0.45 (-4.93, 5.61)","28.79 (-0.48, 98.5)","1.03 (-3.09, 6.17)","0.16 (-2.35, 2.91)","-0.43 (-5.93, 4.86)","-0.09 (-5.4, 5.22)","psychoeducation","0.7 (-4.64, 5.77)","0.63 (-4.86, 5.96)","-0.46 (-5.96, 4.82)","-0.75 (-4.02, 2.45)"
"-1.21 (-5.26, 2.87)","-0.25 (-6.04, 5.54)","28.15 (-1.42, 97.94)","0.29 (-4.58, 6.54)","-0.55 (-5.43, 4.83)","-1.13 (-7.02, 4.77)","-0.8 (-6.91, 5.55)","-0.7 (-5.77, 4.64)","psychological_placebo","-0.06 (-5.95, 5.92)","-1.16 (-7.04, 4.74)","-1.47 (-5.9, 3.26)"
"-1.14 (-5.51, 3.13)","-0.17 (-6.19, 5.74)","28.21 (-1.43, 97.98)","0.39 (-4.78, 6.73)","-0.48 (-5.65, 5.06)","-1.06 (-7.15, 5.01)","-0.73 (-7.05, 5.74)","-0.63 (-5.96, 4.86)","0.06 (-5.92, 5.95)","relaxation_therapy","-1.09 (-7.22, 4.94)","-1.39 (-6.15, 3.51)"
"-0.05 (-4.35, 4.24)","0.91 (-5.05, 6.9)","29.27 (-0.34, 99.1)","1.48 (-3.64, 7.81)","0.62 (-4.48, 6.15)","0.02 (-4.25, 4.32)","0.36 (-5.91, 6.85)","0.46 (-4.82, 5.96)","1.16 (-4.74, 7.04)","1.09 (-4.94, 7.22)","sham_and_neurofeedback","-0.31 (-4.99, 4.6)"
"0.26 (-1.99, 2.26)","1.22 (-3.56, 5.77)","29.51 (0.57, 99.26)","1.78 (-1.2, 5.82)","0.91 (-1.7, 3.84)","0.33 (-4.56, 5.02)","0.66 (-3.55, 4.9)","0.75 (-2.45, 4.02)","1.47 (-3.26, 5.9)","1.39 (-3.51, 6.15)","0.31 (-4.6, 4.99)","waiting_list"
