"CBT","0.97 (-3.15, 5.13)","30.41 (0.33, 101.61)","1.51 (-1.61, 6)","0.66 (-2.25, 4.03)","0.07 (-4.22, 4.38)","0.4 (-4.22, 5.24)","0.5 (-2.63, 3.88)","1.22 (-2.84, 5.3)","1.14 (-3.16, 5.52)","0.05 (-4.23, 4.35)","-0.26 (-2.28, 1.97)"
"-0.97 (-5.13, 3.15)","CBT_and_stimulants","29.45 (-1.07, 100.66)","0.54 (-4.45, 6.76)","-0.32 (-5.28, 5.11)","-0.89 (-6.88, 5.08)","-0.57 (-6.72, 5.83)","-0.47 (-5.61, 4.91)","0.25 (-5.58, 6.03)","0.17 (-5.85, 6.21)","-0.92 (-6.94, 5.02)","-1.23 (-5.79, 3.53)"
"-30.41 (-101.61, -0.33)","-29.45 (-100.66, 1.07)","cognitive_remediation","-28.71 (-99.95, 1.58)","-29.68 (-100.84, 0.43)","-30.34 (-101.52, 0.23)","-29.96 (-101.19, 0.44)","-29.85 (-101, 0.32)","-29.2 (-100.43, 1.32)","-29.29 (-100.33, 1.29)","-30.36 (-101.68, 0.2)","-30.62 (-101.75, -0.67)"
"-1.51 (-6, 1.61)","-0.54 (-6.76, 4.45)","28.71 (-1.58, 99.95)","DBT","-0.86 (-5.64, 3.14)","-1.45 (-7.8, 3.7)","-1.11 (-7.1, 3.91)","-1.02 (-6.14, 3.16)","-0.28 (-6.51, 4.62)","-0.39 (-6.69, 4.82)","-1.47 (-7.82, 3.61)","-1.77 (-5.83, 1.22)"
"-0.66 (-4.03, 2.25)","0.32 (-5.11, 5.28)","29.68 (-0.43, 100.84)","0.86 (-3.14, 5.64)","mindfulness","-0.59 (-6.14, 4.51)","-0.26 (-5.44, 4.68)","-0.15 (-2.91, 2.38)","0.57 (-4.82, 5.46)","0.47 (-5.1, 5.65)","-0.62 (-6.15, 4.51)","-0.9 (-3.85, 1.7)"
"-0.07 (-4.38, 4.22)","0.89 (-5.08, 6.88)","30.34 (-0.23, 101.52)","1.45 (-3.7, 7.8)","0.59 (-4.51, 6.14)","neurofeedback","0.33 (-5.98, 6.82)","0.43 (-4.86, 5.95)","1.14 (-4.8, 7.06)","1.06 (-5.01, 7.2)","-0.03 (-4.32, 4.24)","-0.33 (-5.02, 4.55)"
"-0.4 (-5.24, 4.22)","0.57 (-5.83, 6.72)","29.96 (-0.44, 101.19)","1.11 (-3.91, 7.1)","0.26 (-4.68, 5.44)","-0.33 (-6.82, 5.98)","physical_training","0.1 (-5.21, 5.42)","0.82 (-5.53, 6.91)","0.74 (-5.81, 7.09)","-0.36 (-6.88, 5.92)","-0.65 (-4.89, 3.55)"
"-0.5 (-3.88, 2.63)","0.47 (-4.91, 5.61)","29.85 (-0.32, 101)","1.02 (-3.16, 6.14)","0.15 (-2.38, 2.91)","-0.43 (-5.95, 4.86)","-0.1 (-5.42, 5.21)","psychoeducation","0.72 (-4.64, 5.8)","0.63 (-4.9, 5.99)","-0.46 (-5.98, 4.83)","-0.76 (-4.04, 2.47)"
"-1.22 (-5.3, 2.84)","-0.25 (-6.03, 5.58)","29.2 (-1.32, 100.43)","0.28 (-4.62, 6.51)","-0.57 (-5.46, 4.82)","-1.14 (-7.06, 4.8)","-0.82 (-6.91, 5.53)","-0.72 (-5.8, 4.64)","psychological_placebo","-0.08 (-5.99, 5.91)","-1.17 (-7.09, 4.77)","-1.49 (-5.95, 3.21)"
"-1.14 (-5.52, 3.16)","-0.17 (-6.21, 5.85)","29.29 (-1.29, 100.33)","0.39 (-4.82, 6.69)","-0.47 (-5.65, 5.1)","-1.06 (-7.2, 5.01)","-0.74 (-7.09, 5.81)","-0.63 (-5.99, 4.9)","0.08 (-5.91, 5.99)","relaxation_therapy","-1.09 (-7.2, 4.98)","-1.39 (-6.15, 3.5)"
"-0.05 (-4.35, 4.23)","0.92 (-5.02, 6.94)","30.36 (-0.2, 101.68)","1.47 (-3.61, 7.82)","0.62 (-4.51, 6.15)","0.03 (-4.24, 4.32)","0.36 (-5.92, 6.88)","0.46 (-4.83, 5.98)","1.17 (-4.77, 7.09)","1.09 (-4.98, 7.2)","sham_and_neurofeedback","-0.3 (-5, 4.59)"
"0.26 (-1.97, 2.28)","1.23 (-3.53, 5.79)","30.62 (0.67, 101.75)","1.77 (-1.22, 5.83)","0.9 (-1.7, 3.85)","0.33 (-4.55, 5.02)","0.65 (-3.55, 4.89)","0.76 (-2.47, 4.04)","1.49 (-3.21, 5.95)","1.39 (-3.5, 6.15)","0.3 (-4.59, 5)","waiting_list"
