"CBT","0.97 (-3.16, 5.12)","30.26 (0.31, 99.17)","1.52 (-1.57, 5.99)","0.66 (-2.24, 4.06)","0.09 (-4.18, 4.37)","0.4 (-4.21, 5.25)","0.5 (-2.63, 3.87)","1.21 (-2.85, 5.27)","1.13 (-3.14, 5.5)","0.06 (-4.21, 4.34)","-0.26 (-2.27, 1.99)"
"-0.97 (-5.12, 3.16)","CBT_and_stimulants","29.29 (-1.06, 98.4)","0.55 (-4.42, 6.79)","-0.3 (-5.27, 5.14)","-0.88 (-6.8, 5.09)","-0.57 (-6.76, 5.78)","-0.47 (-5.63, 4.92)","0.24 (-5.55, 6.06)","0.16 (-5.76, 6.16)","-0.9 (-6.85, 5.04)","-1.22 (-5.77, 3.51)"
"-30.26 (-99.17, -0.31)","-29.29 (-98.4, 1.06)","cognitive_remediation","-28.52 (-97.49, 1.63)","-29.52 (-98.46, 0.52)","-30.21 (-99.16, 0.25)","-29.82 (-98.77, 0.45)","-29.7 (-98.65, 0.36)","-29.06 (-98.12, 1.34)","-29.14 (-98.22, 1.3)","-30.22 (-99.27, 0.23)","-30.42 (-99.33, -0.62)"
"-1.52 (-5.99, 1.57)","-0.55 (-6.79, 4.42)","28.52 (-1.63, 97.49)","DBT","-0.87 (-5.62, 3.16)","-1.44 (-7.77, 3.66)","-1.13 (-7.13, 3.89)","-1.03 (-6.17, 3.12)","-0.3 (-6.49, 4.59)","-0.41 (-6.71, 4.78)","-1.48 (-7.8, 3.63)","-1.77 (-5.83, 1.24)"
"-0.66 (-4.06, 2.24)","0.3 (-5.14, 5.27)","29.52 (-0.52, 98.46)","0.87 (-3.16, 5.62)","mindfulness","-0.59 (-6.11, 4.5)","-0.26 (-5.48, 4.65)","-0.16 (-2.91, 2.35)","0.55 (-4.85, 5.47)","0.46 (-5.03, 5.61)","-0.62 (-6.15, 4.47)","-0.91 (-3.85, 1.7)"
"-0.09 (-4.37, 4.18)","0.88 (-5.09, 6.8)","30.21 (-0.25, 99.16)","1.44 (-3.66, 7.77)","0.59 (-4.5, 6.11)","neurofeedback","0.32 (-5.94, 6.77)","0.42 (-4.83, 5.89)","1.12 (-4.77, 7)","1.05 (-5.02, 7.15)","-0.02 (-4.33, 4.25)","-0.34 (-5, 4.53)"
"-0.4 (-5.25, 4.21)","0.57 (-5.78, 6.76)","29.82 (-0.45, 98.77)","1.13 (-3.89, 7.13)","0.26 (-4.65, 5.48)","-0.32 (-6.77, 5.94)","physical_training","0.1 (-5.18, 5.47)","0.82 (-5.53, 6.93)","0.74 (-5.79, 7.09)","-0.35 (-6.81, 5.95)","-0.65 (-4.88, 3.57)"
"-0.5 (-3.87, 2.63)","0.47 (-4.92, 5.63)","29.7 (-0.36, 98.65)","1.03 (-3.12, 6.17)","0.16 (-2.35, 2.91)","-0.42 (-5.89, 4.83)","-0.1 (-5.47, 5.18)","psychoeducation","0.71 (-4.61, 5.79)","0.62 (-4.84, 5.95)","-0.45 (-5.9, 4.79)","-0.75 (-4.02, 2.48)"
"-1.21 (-5.27, 2.85)","-0.24 (-6.06, 5.55)","29.06 (-1.34, 98.12)","0.3 (-4.59, 6.49)","-0.55 (-5.47, 4.85)","-1.12 (-7, 4.77)","-0.82 (-6.93, 5.53)","-0.71 (-5.79, 4.61)","psychological_placebo","-0.08 (-5.97, 5.9)","-1.15 (-7.04, 4.76)","-1.47 (-5.95, 3.2)"
"-1.13 (-5.5, 3.14)","-0.16 (-6.16, 5.76)","29.14 (-1.3, 98.22)","0.41 (-4.78, 6.71)","-0.46 (-5.61, 5.03)","-1.05 (-7.15, 5.02)","-0.74 (-7.09, 5.79)","-0.62 (-5.95, 4.84)","0.08 (-5.9, 5.97)","relaxation_therapy","-1.07 (-7.2, 4.99)","-1.38 (-6.16, 3.5)"
"-0.06 (-4.34, 4.21)","0.9 (-5.04, 6.85)","30.22 (-0.23, 99.27)","1.48 (-3.63, 7.8)","0.62 (-4.47, 6.15)","0.02 (-4.25, 4.33)","0.35 (-5.95, 6.81)","0.45 (-4.79, 5.9)","1.15 (-4.76, 7.04)","1.07 (-4.99, 7.2)","sham_and_neurofeedback","-0.31 (-4.97, 4.57)"
"0.26 (-1.99, 2.27)","1.22 (-3.51, 5.77)","30.42 (0.62, 99.33)","1.77 (-1.24, 5.83)","0.91 (-1.7, 3.85)","0.34 (-4.53, 5)","0.65 (-3.57, 4.88)","0.75 (-2.48, 4.02)","1.47 (-3.2, 5.95)","1.38 (-3.5, 6.16)","0.31 (-4.57, 4.97)","waiting_list"
