Network meta-analysis.

Additive model (common effects model):
                                 treat1                treat2      OR             95%-CI     z  p-value
Adler 2008a                 atomoxetine               placebo  1.4362 [1.2566;   1.6413]  5.31 < 0.0001
Adler 2008b                     placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Adler 2009a                 atomoxetine               placebo  1.4362 [1.2566;   1.6413]  5.31 < 0.0001
Adler 2009b                 atomoxetine               placebo  1.4362 [1.2566;   1.6413]  5.31 < 0.0001
Adler 2009c                     placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Adler 2013                      placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Alyagon 2020             active control                  sham  0.4914 [0.0995;   2.4270] -0.87   0.3833
Alyagon 2020             active control           TMS (right)  0.3472 [0.0777;   1.5507] -1.39   0.1659
Alyagon 2020                       sham           TMS (right)  0.7066 [0.2291;   2.1795] -0.60   0.5456
Anastopoulos 2021                   CBT          waiting list  1.5419 [0.9944;   2.3908]  1.93   0.0530
Arnold 2014                   modafinil               placebo  1.8293 [1.0137;   3.3014]  2.00   0.0450
Bachmann 2018               mindfulness       psychoeducation  0.9994 [0.4698;   2.1259] -0.00   0.9988
Biederman 2012                  placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Biehl 2016                      placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Bleich-Cohen 2021                  sham            TMS (left)  0.5345 [0.1522;   1.8763] -0.98   0.3282
Bleich-Cohen 2021                  sham           TMS (right)  0.7066 [0.2291;   2.1795] -0.60   0.5456
Bleich-Cohen 2021            TMS (left)           TMS (right)  1.3219 [0.3141;   5.5628]  0.38   0.7034
Bron 2014                       placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Cachoeira 2017                     sham                  tDCS  0.2545 [0.0576;   1.1241] -1.81   0.0710
Casas 2013                      placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Cherkasova 2016                     CBT      CBT + stimulants  0.4048 [0.1122;   1.4595] -1.38   0.1669
Cutler 2022                     placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Durell 2013                 atomoxetine               placebo  1.4362 [1.2566;   1.6413]  5.31 < 0.0001
Emilsson 2011                 CBT + TAU                   TAU  1.1738 [0.4498;   3.0627]  0.33   0.7433
Faraone 2021                    placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Fleming 2013                        CBT                   DBT  0.5731 [0.2001;   1.6410] -1.04   0.2996
Frick 2017                      placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Goodman 2016                    placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Goto 2013                   atomoxetine               placebo  1.4362 [1.2566;   1.6413]  5.31 < 0.0001
Gu 2016                     mindfulness          waiting list  1.7242 [0.5688;   5.2267]  0.96   0.3357
Halmoy 2022                         DBT          waiting list  2.6905 [0.9857;   7.3438]  1.93   0.0534
Hanssen 2023                  GMT + TAU                   TAU 23.6769 [1.3277; 422.2217]  2.15   0.0313
Hepark 2015                 mindfulness          waiting list  1.7242 [0.5688;   5.2267]  0.96   0.3357
Hirvikoski 2013   psychoeducation + TAU    waiting list + TAU  1.7252 [0.5828;   5.1074]  0.98   0.3247
Hoxhaj 2018                 mindfulness       psychoeducation  0.9994 [0.4698;   2.1259] -0.00   0.9988
Huang 2015                          CBT          waiting list  1.5419 [0.9944;   2.3908]  1.93   0.0530
Huss 2014                       placebo            stimulants  1.0704 [0.9255;   1.2379]  0.92   0.3592
Iwanami 2020                 guanfacine               placebo  3.6998 [1.5015;   9.1169]  2.84   0.0045
