"study","t","mean","sd","n","id","rob","indirectness"
"Alyagon 2020","TMS (right)",-8.27,1.83,15,1,"2",1
"Alyagon 2020","sham",-1.86,1.9,14,1,"2",1
"Alyagon 2020","active control",-2.84,1.96,13,1,"2",1
"Bleich-Cohen 2021","TMS (right)",67.54,13.02,24,2,"2",1
"Bleich-Cohen 2021","TMS (left)",73.55,12.74,22,2,"2",1
"Bleich-Cohen 2021","sham",66.12,12.47,16,2,"2",1
"Cachoeira 2017","tDCS",37.33,11.9076781951815,8,3,"1",1
"Cachoeira 2017","sham",45.38,12.0490995514188,8,3,"1",1
"Paz 2017","TMS (bilateral)",72.11,13.02,9,4,"2",1
"Paz 2017","sham",70.77,10.9969313901652,13,4,"2",1
"NCT03663179","TMS (left)",-4.4,9.4,14,5,"2",1
"NCT03663179","sham",-5.1,7.6,13,5,"2",1
