"random OR","1","2","3","4","5","6"
"Mixed estimates","--","--","--","--","--","--"
"CBT + TAU:TAU",48.3946,0,0,24.2603,0,27.3451
"DBT + TAU:TAU",0,0,100,0,0,0
"GMT + TAU:TAU",0,0,0,0,100,0
"mindfulness + TAU:TAU",0,100,0,0,0,0
"Indirect estimates","--","--","--","--","--","--"
"CBT + TAU:DBT + TAU",24.1973,0,50,12.1301,0,13.6726
"CBT + TAU:GMT + TAU",24.1973,0,0,12.1301,50,13.6726
"CBT + TAU:mindfulness + TAU",24.1973,50,0,12.1301,0,13.6726
"DBT + TAU:GMT + TAU",0,0,50,0,50,0
"DBT + TAU:mindfulness + TAU",0,50,50,0,0,0
"GMT + TAU:mindfulness + TAU",0,50,0,0,50,0
