"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"CBT:CBT + stimulants",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:DBT",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:psychoeducation",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:psychological placebo",1,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"CBT:relaxation therapy",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:sham + neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:waiting list",3,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"DBT:waiting list",1,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"cognitive remediation:waiting list",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:psychoeducation",2,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:waiting list",3,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:sham + neurofeedback",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"physical training:waiting list",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"CBT:cognitive remediation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:DBT",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:cognitive remediation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"CBT + stimulants:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
