"random OR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Mixed estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CBT:CBT + stimulants",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:DBT",17.9351,0.9284,0,23.35,0.4415,0.5002,0.4366,0.4233,6.2407,0,0,0,0,1.365,36.96,0,11.4192
"CBT:neurofeedback",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"CBT:psychoeducation",7.2859,10.25,0,0.61,4.8744,5.5222,4.82,4.6734,2.5352,0,0,0,0,54.18,0.61,0,4.6389
"CBT:psychological placebo",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"CBT:relaxation therapy",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"CBT:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"CBT:waiting list",44.4763,1.5349,0,2.48,0.7299,0.8269,0.7218,0.6998,15.476,0,0,0,0,2.2567,2.48,0,28.3177
"DBT:waiting list",4.303,0.2228,0,8.8675,0.1059,0.12,0.1047,0.1016,1.4973,0,0,0,0,0.3275,81.61,0,2.7397
"cognitive remediation:waiting list",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"mindfulness:psychoeducation",2.1297,58.9087,0,0.1775,1.4245,1.6138,27.7013,1.3658,0.741,0,0,0,0,4.4042,0.1775,0,1.3559
"mindfulness:waiting list",5.4098,7.6087,0,0.45,21.3447,24.1811,3.5779,20.4642,1.8824,0,0,0,0,11.1867,0.45,0,3.4444
"neurofeedback:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"physical training:waiting list",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Indirect estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CBT + stimulants:DBT",11.9568,0.7427,36.497,11.675,0.3532,0.4001,0.3493,0.3386,4.1605,0,0,0,0,1.092,24.822,0,7.6128
"CBT + stimulants:cognitive remediation",14.8254,0.9209,32.0173,1.24,0.438,0.4962,0.4331,0.4199,5.1587,0,0,0,32.0173,1.354,1.24,0,9.4392
"CBT + stimulants:mindfulness",9.4156,9.2479,33.0708,0.7875,6.299,7.136,4.3488,6.0392,3.2762,0,0,0,0,13.5967,0.7875,0,5.9948
"CBT + stimulants:neurofeedback",0,0,44.445,0,0,0,0,0,0,0,55.555,0,0,0,0,0,0
"CBT + stimulants:physical training",14.8254,0.9209,32.0173,1.24,0.438,0.4962,0.4331,0.4199,5.1587,0,0,0,0,1.354,1.24,32.0173,9.4392
"CBT + stimulants:psychoeducation",5.4644,7.7083,38.423,0.488,3.6657,4.1528,3.6247,3.5145,1.9014,0,0,0,0,27.09,0.488,0,3.4792
"CBT + stimulants:psychological placebo",0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"CBT + stimulants:relaxation therapy",0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0
"CBT + stimulants:sham + neurofeedback",0,0,44.45,0,0,0,0,0,0,0,55.550000000000004,0,0,0,0,0,0
"CBT + stimulants:waiting list",22.2382,1.1512,47.4808,1.6533,0.5474,0.6202,0.5413,0.5249,7.738,0,0,0,0,1.6925,1.6533,0,14.1589
"CBT:cognitive remediation",22.2382,1.1512,0,1.6533,0.5474,0.6202,0.5413,0.5249,7.738,0,0,0,47.4808,1.6925,1.6533,0,14.1589
"CBT:mindfulness",14.1234,13.8719,0,1.05,9.406,10.6559,6.5231,9.018,4.9144,0,0,0,0,20.395,1.05,0,8.9922
"CBT:physical training",22.2382,1.1512,0,1.6533,0.5474,0.6202,0.5413,0.5249,7.738,0,0,0,0,1.6925,1.6533,47.4808,14.1589
"DBT:mindfulness",1.9046,7.1507,0,6.7333,10.4605,11.8505,3.3626,10.029,0.6627,0,0,0,0,10.5133,36.12,0,1.2127
"DBT:neurofeedback",10.7865,0.6189,0,11.675,0.2943,0.3335,0.2911,0.2822,3.7533,0,41.87,0,0,0.91,22.3175,0,6.8677
"DBT:physical training",2.8687,0.1782,0,5.9553,0.0847,0.096,0.0838,0.0812,0.9982,0,0,0,0,0.262,40.805,46.7603,1.8265
"DBT:psychoeducation",4.6708,11.6262,0,10.455,5.5289,6.2636,5.4671,5.3008,1.6253,0,0,0,0,19.725,26.3633,0,2.9739
"DBT:psychological placebo",11.9568,0.7427,0,11.675,0.3532,0.4001,0.3493,0.3386,4.1605,0,0,36.497,0,1.092,24.822,0,7.6128
"DBT:relaxation therapy",11.9568,0.7427,0,11.675,0.3532,0.4001,0.3493,0.3386,4.1605,36.497,0,0,0,1.092,24.822,0,7.6128
"DBT:sham + neurofeedback",10.7878,0.6189,0,11.675,0.2943,0.3335,0.2911,0.2822,3.7537,0,41.864999999999995,0,0,0.91,22.32,0,6.8685
"cognitive remediation:DBT",2.8687,0.1782,0,5.9553,0.0847,0.096,0.0838,0.0812,0.9982,0,0,0,46.7603,0.262,40.805,0,1.8265
"cognitive remediation:mindfulness",4.0574,5.7218,0,0.36,10.6724,12.0905,2.6907,10.2321,1.4118,0,0,0,41.4075,8.4125,0.36,0,2.5833
"cognitive remediation:neurofeedback",13.9185,0.7674,0,0.992,0.365,0.4135,0.3609,0.3499,4.8431,0,37.2639,0,29.7437,1.1283,0.992,0,8.8618
"cognitive remediation:physical training",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0
"cognitive remediation:psychoeducation",7.5395,11.9232,0,0.63,5.6701,6.4236,5.6068,5.4362,2.6234,0,0,0,33.1233,15.5933,0.63,0,4.8004
