"random OR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"Mixed estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DBT + placebo:DBT + stimulants",0.0057,0,0.0003,0.0002,0.0055,0.0002,0.0002,0.005,0.0053,0.0003,0.0064,0,0.0018,0.0008,0.007,0.0003,0.0002,0.0079,0.0001,0.0002,0,0.0077,0.0004,0.0004,0.0044,0.0001,0.003,0.0073,0.0004,0.0011,0,0.0007,0.0073,0.0002,0.0049,0.0046,0,0.0056,0.0052,0.0048,99.89429999999999,0,0.0002
"DBT + placebo:placebo",1.0331,0,0.0414,0.025,0.9864,0.0398,0.0378,0.8995,0.952,0.0412,1.1577,0,0.3159,0.1362,1.2656,0.0402,0.0305,1.4286,0.0174,0.0307,0,1.3935,0.0732,0.0735,0.801,0.0224,0.5401,1.3169,0.0723,0.2044,0.0018,0.1227,1.3131,0.0309,0.8746,0.8255,0,1.0133,0.885,0.8707,81.05019999999999,0,0.0258
"DBT + placebo:stimulants",1.3493,0,0.0544,0.0329,1.2884,0.0522,0.0497,1.1748,1.2433,0.0541,1.5121,0,0.4127,0.1779,1.653,0.0527,0.04,1.8659,0.0228,0.0403,0,1.82,0.0956,0.0961,1.0462,0.0294,0.7055,1.72,0.0944,0.267,0.0024,0.1603,1.715,0.0405,1.1423,1.0782,0,1.3234,1.1585,1.1372,75.25750000000001,0,0.0339
"DBT + stimulants:placebo",1.0329,0,0.042,0.0254,0.9862,0.0403,0.0383,0.8993,0.9518,0.0418,1.1575,0,0.3159,0.1362,1.2653,0.0407,0.0309,1.4283,0.0176,0.0311,0,1.3932,0.0732,0.0735,0.8009,0.0227,0.54,1.3167,0.0723,0.2044,0.0018,0.1227,1.3128,0.0313,0.8745,0.8253,0,1.0131,0.8901,0.8705,81.05340000000001,0,0.0261
"DBT + stimulants:stimulants",1.3252,0,0.0539,0.0326,1.2653,0.0517,0.0492,1.1538,1.2211,0.0536,1.4851,0,0.4053,0.1748,1.6234,0.0522,0.0396,1.8325,0.0226,0.0399,0,1.7875,0.0939,0.0943,1.0275,0.0291,0.6928,1.6893,0.0927,0.2622,0.0024,0.1574,1.6844,0.0401,1.1219,1.0589,0,1.2998,1.1423999999999999,1.1169,75.69109999999999,0,0.0336
"atomoxetine:placebo",0.1215,0,9.8842,5.9754,0.116,9.4847,9.0284,0.1058,0.1119,9.8384,0.1361,0,0.0371,0.016,0.1488,9.5871,7.2748,0.168,4.1429,7.3275,0,0.1638,0.0086,0.0086,0.0942,5.3459,0.0635,0.1548,0.0085,0.024,0.4323,0.0144,0.1544,7.3637,0.1028,0.0971,0,0.1191,5.8904,0.1024,0.19060000000000002,0,6.1565
"atomoxetine:stimulants",2.4315,0,4.6796,2.829,2.3216,4.4904,4.2744,2.117,2.2405,4.6579,2.7249,0,0.7436,0.3206,2.9786,4.5389,3.4442,3.3624,1.9614,3.4692,0,3.2797,0.1723,0.1731,1.8853,2.531,1.2712,3.0995,0.1701,0.4811,0.2047,0.2888,3.0905,3.4863,2.0585,1.9429,0,2.3848,11.0903,2.0493,3.8199999999999994,0,2.9147
"bupropion:placebo",0,16.5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"guanfacine:placebo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"modafinil:placebo",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"placebo:stimulants",5.1058,0,0.1922,0.1162,4.8753,0.1844,0.1755,4.4454,4.7049,0.1913,5.722,0,1.5615,0.6733,6.2549,0.1864,0.1414,7.0607,0.0805,0.1424,0,6.8871,0.3618,0.3635,3.9591,0.1039,2.6695,6.5088,0.3573,1.0103,0.0084,0.6065,6.4898,0.1432,4.3226,4.0799,0,5.0079,4.2474,4.3033,6.626100000000001,0,0.1197
"placebo:viloxazine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Indirect estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DBT + placebo:guanfacine",0.7013,0,0.0331,0.02,0.6696,0.0318,0.0303,0.6106,0.6462,0.033,0.7859,0,0.2145,0.0925,0.8591,0.0322,0.0244,0.9698,0.0139,0.0246,0,0.9459,0.0497,0.0499,0.5438,0.0179,0.3666,0.894,0.0491,0.1388,0.0014,0.0833,0.8913,0.0247,0.5937,0.5604,39.7708,0.6878,0.651,0.591,47.2656,0,0.0206
"DBT + placebo:modafinil",0.7013,0,0.0331,0.02,0.6696,0.0318,0.0303,0.6106,0.6462,0.033,0.7859,39.7708,0.2145,0.0925,0.8591,0.0322,0.0244,0.9698,0.0139,0.0246,0,0.9459,0.0497,0.0499,0.5438,0.0179,0.3666,0.894,0.0491,0.1388,0.0014,0.0833,0.8913,0.0247,0.5937,0.5604,0,0.6878,0.651,0.591,47.2656,0,0.0206
"DBT + placebo:viloxazine",0.7013,0,0.0331,0.02,0.6696,0.0318,0.0303,0.6106,0.6462,0.033,0.7859,0,0.2145,0.0925,0.8591,0.0322,0.0244,0.9698,0.0139,0.0246,0,0.9459,0.0497,0.0499,0.5438,0.0179,0.3666,0.894,0.0491,0.1388,0.0014,0.0833,0.8913,0.0247,0.5937,0.5604,0,0.6878,0.651,0.591,47.2656,39.7708,0.0206
"DBT + stimulants:guanfacine",0.7026,0,0.0336,0.0203,0.6709,0.0322,0.0307,0.6117,0.6474,0.0334,0.7874,0,0.2149,0.0927,0.8607,0.0326,0.0247,0.9716,0.0141,0.0249,0,0.9477,0.0498,0.05,0.5448,0.0182,0.3673,0.8957,0.0492,0.139,0.0015,0.0835,0.8931,0.025,0.5948,0.5614,39.3207,0.6891,0.6557999999999999,0.5922,47.693999999999996,0,0.0209
