"CBT"," 0.985 ( 0.438,  1.532)","-0.411 (-1.374,  0.552)"," 0.639 (-0.411,  1.689)"," 0.575 (-0.402,  1.552)"," 0.358 (-0.112,  0.829)","-0.954 (-2.109,  0.201)"," 0.496 (-0.504,  1.496)"," 0.602 ( 0.176,  1.028)","-0.562 (-1.517,  0.392)","-0.108 (-0.662,  0.446)"," 0.084 (-0.849,  1.017)"," 0.505 ( 0.008,  1.001)","-0.278 (-0.658,  0.102)"," 0.124 (-0.428,  0.676)","-0.957 (-1.771, -0.142)","-0.382 (-0.654, -0.111)"
"-0.985 (-1.532, -0.438)","CBT + stimulants","-1.396 (-2.503, -0.289)","-0.346 (-1.530,  0.838)","-0.410 (-1.530,  0.709)","-0.627 (-1.348,  0.095)","-1.939 (-3.217, -0.661)","-0.489 (-1.628,  0.651)","-0.383 (-1.076,  0.310)","-1.547 (-2.648, -0.447)","-1.093 (-1.871, -0.314)","-0.901 (-1.983,  0.180)","-0.480 (-1.219,  0.258)","-1.263 (-1.929, -0.597)","-0.861 (-1.638, -0.084)","-1.942 (-2.922, -0.961)","-1.367 (-1.978, -0.757)"
" 0.411 (-0.552,  1.374)"," 1.396 ( 0.289,  2.503)","CBT + TAU"," 1.050 (-0.375,  2.475)"," 0.986 (-0.386,  2.358)"," 0.769 (-0.302,  1.841)","-0.543 (-1.511,  0.424)"," 0.907 (-0.481,  2.295)"," 1.013 (-0.040,  2.066)","-0.151 (-0.868,  0.565)"," 0.303 (-0.808,  1.414)"," 0.495 (-0.846,  1.836)"," 0.916 (-0.168,  1.999)"," 0.133 (-0.902,  1.168)"," 0.535 (-0.575,  1.645)","-0.546 (-1.060, -0.031)"," 0.029 (-0.972,  1.029)"
"-0.639 (-1.689,  0.411)"," 0.346 (-0.838,  1.530)","-1.050 (-2.475,  0.375)","cognitive placebo","-0.064 (-0.449,  0.320)","-0.281 (-1.432,  0.870)","-1.593 (-3.155, -0.032)","-0.143 (-1.219,  0.933)","-0.037 (-1.170,  1.096)","-1.202 (-2.621,  0.218)","-0.747 (-1.934,  0.440)","-0.555 (-1.600,  0.489)","-0.135 (-1.296,  1.027)","-0.917 (-2.034,  0.200)","-0.515 (-1.701,  0.671)","-1.596 (-2.925, -0.267)","-1.022 (-2.106,  0.063)"
"-0.575 (-1.552,  0.402)"," 0.410 (-0.709,  1.530)","-0.986 (-2.358,  0.386)"," 0.064 (-0.320,  0.449)","cognitive training","-0.216 (-1.301,  0.868)","-1.529 (-3.042, -0.016)","-0.079 (-1.083,  0.926)"," 0.027 (-1.039,  1.093)","-1.137 (-2.503,  0.229)","-0.682 (-1.806,  0.441)","-0.491 (-1.462,  0.480)","-0.070 (-1.166,  1.026)","-0.853 (-1.901,  0.196)","-0.451 (-1.573,  0.672)","-1.531 (-2.803, -0.260)","-0.957 (-1.971,  0.057)"
"-0.358 (-0.829,  0.112)"," 0.627 (-0.095,  1.348)","-0.769 (-1.841,  0.302)"," 0.281 (-0.870,  1.432)"," 0.216 (-0.868,  1.301)","DBT","-1.313 (-2.560, -0.065)"," 0.138 (-0.967,  1.243)"," 0.244 (-0.321,  0.809)","-0.921 (-1.985,  0.143)","-0.466 (-1.193,  0.261)","-0.275 (-1.320,  0.770)"," 0.146 (-0.490,  0.782)","-0.636 (-1.218, -0.054)","-0.234 (-0.959,  0.491)","-1.315 (-2.255, -0.375)","-0.741 (-1.181, -0.300)"
" 0.954 (-0.201,  2.109)"," 1.939 ( 0.661,  3.217)"," 0.543 (-0.424,  1.511)"," 1.593 ( 0.032,  3.155)"," 1.529 ( 0.016,  3.042)"," 1.313 ( 0.065,  2.560)","DBT + TAU"," 1.450 (-0.077,  2.978)"," 1.556 ( 0.325,  2.788)"," 0.392 (-0.567,  1.351)"," 0.846 (-0.435,  2.128)"," 1.038 (-0.447,  2.523)"," 1.459 ( 0.201,  2.716)"," 0.676 (-0.540,  1.893)"," 1.078 (-0.202,  2.358)","-0.002 (-0.822,  0.817)"," 0.572 (-0.615,  1.759)"
"-0.496 (-1.496,  0.504)"," 0.489 (-0.651,  1.628)","-0.907 (-2.295,  0.481)"," 0.143 (-0.933,  1.219)"," 0.079 (-0.926,  1.083)","-0.138 (-1.243,  0.967)","-1.450 (-2.978,  0.077)","hypnotherapy"," 0.106 (-0.981,  1.193)","-1.058 (-2.441,  0.324)","-0.604 (-1.747,  0.539)","-0.412 (-1.407,  0.582)"," 0.008 (-1.108,  1.125)","-0.774 (-1.844,  0.296)","-0.372 (-1.514,  0.770)","-1.453 (-2.742, -0.163)","-0.878 (-1.915,  0.158)"
"-0.602 (-1.028, -0.176)"," 0.383 (-0.310,  1.076)","-1.013 (-2.066,  0.040)"," 0.037 (-1.096,  1.170)","-0.027 (-1.093,  1.039)","-0.244 (-0.809,  0.321)","-1.556 (-2.788, -0.325)","-0.106 (-1.193,  0.981)","mindfulness","-1.165 (-2.210, -0.119)","-0.710 (-1.409, -0.011)","-0.518 (-1.544,  0.508)","-0.098 (-0.489,  0.294)","-0.880 (-1.422, -0.338)","-0.478 (-1.175,  0.219)","-1.559 (-2.478, -0.640)","-0.984 (-1.349, -0.620)"
" 0.562 (-0.392,  1.517)"," 1.547 ( 0.447,  2.648)"," 0.151 (-0.565,  0.868)"," 1.202 (-0.218,  2.621)"," 1.137 (-0.229,  2.503)"," 0.921 (-0.143,  1.985)","-0.392 (-1.351,  0.567)"," 1.058 (-0.324,  2.441)"," 1.165 ( 0.119,  2.210)","mindfulness + TAU"," 0.455 (-0.649,  1.558)"," 0.646 (-0.689,  1.981)"," 1.067 (-0.009,  2.143)"," 0.284 (-0.743,  1.312)"," 0.686 (-0.416,  1.789)","-0.394 (-0.893,  0.104)"," 0.180 (-0.812,  1.173)"
" 0.108 (-0.446,  0.662)"," 1.093 ( 0.314,  1.871)","-0.303 (-1.414,  0.808)"," 0.747 (-0.440,  1.934)"," 0.682 (-0.441,  1.806)"," 0.466 (-0.261,  1.193)","-0.846 (-2.128,  0.435)"," 0.604 (-0.539,  1.747)"," 0.710 ( 0.011,  1.409)","-0.455 (-1.558,  0.649)","neurofeedback"," 0.192 (-0.894,  1.277)"," 0.612 (-0.132,  1.356)","-0.170 (-0.842,  0.502)"," 0.232 (-0.323,  0.787)","-0.849 (-1.834,  0.136)","-0.274 (-0.892,  0.343)"
"-0.084 (-1.017,  0.849)"," 0.901 (-0.180,  1.983)","-0.495 (-1.836,  0.846)"," 0.555 (-0.489,  1.600)"," 0.491 (-0.480,  1.462)"," 0.275 (-0.770,  1.320)","-1.038 (-2.523,  0.447)"," 0.412 (-0.582,  1.407)"," 0.518 (-0.508,  1.544)","-0.646 (-1.981,  0.689)","-0.192 (-1.277,  0.894)","no treatment"," 0.421 (-0.636,  1.478)","-0.362 (-1.369,  0.646)"," 0.040 (-1.044,  1.124)","-1.040 (-2.279,  0.198)","-0.466 (-1.438,  0.506)"
"-0.505 (-1.001, -0.008)"," 0.480 (-0.258,  1.219)","-0.916 (-1.999,  0.168)"," 0.135 (-1.027,  1.296)"," 0.070 (-1.026,  1.166)","-0.146 (-0.782,  0.490)","-1.459 (-2.716, -0.201)","-0.008 (-1.125,  1.108)"," 0.098 (-0.294,  0.489)","-1.067 (-2.143,  0.009)","-0.612 (-1.356,  0.132)","-0.421 (-1.478,  0.636)","psychoeducation","-0.782 (-1.388, -0.177)","-0.380 (-1.123,  0.362)","-1.461 (-2.415, -0.507)","-0.887 (-1.364, -0.410)"
" 0.278 (-0.102,  0.658)"," 1.263 ( 0.597,  1.929)","-0.133 (-1.168,  0.902)"," 0.917 (-0.200,  2.034)"," 0.853 (-0.196,  1.901)"," 0.636 ( 0.054,  1.218)","-0.676 (-1.893,  0.540)"," 0.774 (-0.296,  1.844)"," 0.880 ( 0.338,  1.422)","-0.284 (-1.312,  0.743)"," 0.170 (-0.502,  0.842)"," 0.362 (-0.646,  1.369)"," 0.782 ( 0.177,  1.388)","relaxation therapy"," 0.402 (-0.268,  1.072)","-0.679 (-1.577,  0.220)","-0.104 (-0.527,  0.318)"
"-0.124 (-0.676,  0.428)"," 0.861 ( 0.084,  1.638)","-0.535 (-1.645,  0.575)"," 0.515 (-0.671,  1.701)"," 0.451 (-0.672,  1.573)"," 0.234 (-0.491,  0.959)","-1.078 (-2.358,  0.202)"," 0.372 (-0.770,  1.514)"," 0.478 (-0.219,  1.175)","-0.686 (-1.789,  0.416)","-0.232 (-0.787,  0.323)","-0.040 (-1.124,  1.044)"," 0.380 (-0.362,  1.123)","-0.402 (-1.072,  0.268)","sham + neurofeedback","-1.081 (-2.064, -0.097)","-0.506 (-1.121,  0.109)"
" 0.957 ( 0.142,  1.771)"," 1.942 ( 0.961,  2.922)"," 0.546 ( 0.031,  1.060)"," 1.596 ( 0.267,  2.925)"," 1.531 ( 0.260,  2.803)"," 1.315 ( 0.375,  2.255)"," 0.002 (-0.817,  0.822)"," 1.453 ( 0.163,  2.742)"," 1.559 ( 0.640,  2.478)"," 0.394 (-0.104,  0.893)"," 0.849 (-0.136,  1.834)"," 1.040 (-0.198,  2.279)"," 1.461 ( 0.507,  2.415)"," 0.679 (-0.220,  1.577)"," 1.081 ( 0.097,  2.064)","TAU"," 0.574 (-0.284,  1.433)"
