"random SMD","CBT:CBT + stimulants","CBT:cognitive training","CBT:DBT","CBT:hypnotherapy","CBT:neurofeedback","CBT:no treatment","CBT:psychoeducation","CBT:relaxation therapy","CBT:sham + neurofeedback","CBT:TAU","CBT + TAU:TAU","CBT:waiting list","cognitive placebo:cognitive training","cognitive training:hypnotherapy","cognitive training:no treatment","DBT + TAU:TAU","DBT:waiting list","hypnotherapy:no treatment","mindfulness:psychoeducation","mindfulness + TAU:TAU","mindfulness:waiting list","neurofeedback:sham + neurofeedback","relaxation therapy:waiting list"
"Mixed estimates",,,,,,,,,,,,,,,,,,,,,,,
"CBT + TAU:TAU",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:CBT + stimulants",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:DBT",0,0,36.75,0,0,0,1.21,3.0167,0,0,0,24.675,0,0,0,0,28.9017,0,1.21,0,1.21,0,3.0167
"CBT:TAU",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:cognitive training",0,49.96,0,11.765,0,13.1883,0,0,0,0,0,0,0,11.9083,13.045,0,0,0.1433,0,0,0,0,0
"CBT:hypnotherapy",0,12.315,0,48.87,0,13.1733,0,0,0,0,0,0,0,12.4683,0.1533,0,0,13.02,0,0,0,0,0
"CBT:neurofeedback",0,0,0,0,66.61,0,0,0,16.695,0,0,0,0,0,0,0,0,0,0,0,0,16.695,0
"CBT:no treatment",0,12.09,0,11.5433,0,52.73,0,0,0,0,0,0,0,0.0033,12.0933,0,0,11.54,0,0,0,0,0
"CBT:psychoeducation",0,0,1.1975,0,0,0,41.58,2.0775,0,0,0,15.1067,0,0,0,0,1.1975,0,18.3817,0,18.3817,0,2.0775
"CBT:relaxation therapy",0,0,0.82,0,0,0,0.5725,71.93,0,0,0,11.66,0,0,0,0,0.82,0,0.5725,0,0.5725,0,13.0525
"CBT:sham + neurofeedback",0,0,0,0,16.55,0,0,0,66.9,0,0,0,0,0,0,0,0,0,0,0,0,16.55,0
"CBT:waiting list",0,0,3.805,0,0,0,2.3567,6.61,0,0,0,72.09,0,0,0,0,3.805,0,2.3567,0,2.3567,0,6.61
"DBT + TAU:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"DBT:waiting list",0,0,13.3175,0,0,0,0.5575,1.39,0,0,0,11.37,0,0,0,0,70.86,0,0.5575,0,0.5575,0,1.39
"cognitive placebo:cognitive training",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
"cognitive training:hypnotherapy",0,12.665,0,12.6683,0,0.0033,0,0,0,0,0,0,0,49.04,12.8083,0,0,12.805,0,0,0,0,0
"cognitive training:no treatment",0,12.885,0,0.1433,0,13.0283,0,0,0,0,0,0,0,11.8983,50.28,0,0,11.755,0,0,0,0,0
"hypnotherapy:no treatment",0,0.15,0,12.885,0,13.035,0,0,0,0,0,0,0,12.475,12.325,0,0,49.13,0,0,0,0,0
"mindfulness + TAU:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"mindfulness:psychoeducation",0,0,0.385,0,0,0,5.9192,0.6675,0,0,0,4.8667,0,0,0,0,0.385,0,81.19,0,5.9192,0,0.6675
"mindfulness:waiting list",0,0,0.3225,0,0,0,4.94,0.5575,0,0,0,4.06,0,0,0,0,0.3225,0,4.94,0,84.3,0,0.5575
"neurofeedback:sham + neurofeedback",0,0,0,0,16.755,0,0,0,16.755,0,0,0,0,0,0,0,0,0,0,0,0,66.49,0
"relaxation therapy:waiting list",0,0,1.7167,0,0,0,1.195,27.2967,0,0,0,24.385,0,0,0,0,1.7167,0,1.195,0,1.195,0,41.29
"Indirect estimates",,,,,,,,,,,,,,,,,,,,,,,
"CBT + TAU:DBT",0,0,12.25,0,0,0,0.8067,1.81,0,27.2042,27.2042,12.3375,0,0,0,0,14.9542,0,0.8067,0,0.8067,0,1.81
"CBT + TAU:DBT + TAU",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0
"CBT + TAU:cognitive placebo",0,12.49,0,4.706,0,5.288,0,0,0,22.484,22.484,0,22.484,4.776,5.218,0,0,0.07,0,0,0,0,0
"CBT + TAU:cognitive training",0,16.6533,0,5.8825,0,6.6065,0,0,0,29.1423,29.1423,0,0,5.9665,6.5225,0,0,0.084,0,0,0,0,0
"CBT + TAU:hypnotherapy",0,6.1575,0,16.29,0,6.602,0,0,0,29.0495,29.0495,0,0,6.2495,0.092,0,0,6.51,0,0,0,0,0
"CBT + TAU:mindfulness",0,0,1.266,0,0,0,5.6925,2.198,0,24.134,24.134,14.9775,0,0,0,0,1.266,0,5.6925,0,18.4415,0,2.198
"CBT + TAU:mindfulness + TAU",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0
"CBT + TAU:neurofeedback",0,0,0,0,22.2033,0,0,0,8.3475,30.5508,30.5508,0,0,0,0,0,0,0,0,0,0,8.3475,0
"CBT + TAU:no treatment",0,6.045,0,5.772,0,17.5767,0,0,0,29.3937,29.3937,0,0,0.002,6.047,0,0,5.77,0,0,0,0,0
"CBT + TAU:psychoeducation",0,0,0.7983,0,0,0,13.86,1.385,0,25.1073,25.1073,9.064,0,0,0,0,0.7983,0,11.2473,0,11.2473,0,1.385
"CBT + TAU:relaxation therapy",0,0,0.492,0,0,0,0.3817,23.9767,0,30.6803,30.6803,5.83,0,0,0,0,0.492,0,0.3817,0,0.3817,0,6.7037
"CBT + TAU:sham + neurofeedback",0,0,0,0,8.275,0,0,0,22.3,30.575,30.575,0,0,0,0,0,0,0,0,0,0,8.275,0
"CBT + TAU:waiting list",0,0,1.9025,0,0,0,1.414,3.305,0,30.6515,30.6515,24.03,0,0,0,0,1.9025,0,1.414,0,1.414,0,3.305
"CBT + stimulants:CBT + TAU",33.3333,0,0,0,0,0,0,0,0,33.3333,33.3333,0,0,0,0,0,0,0,0,0,0,0,0
"CBT + stimulants:DBT",38.0555,0,18.375,0,0,0,0.968,2.2625,0,0,0,16.45,0,0,0,0,19.6805,0,0.968,0,0.968,0,2.2625
