"random SMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"Mixed estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CBT + TAU:TAU",0,0,0,0,45.97,0,0,0,0,0,0,0,54.03,0,0,0,0,0,0,0,0,0,0
"CBT:CBT + stimulants",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:DBT",14.1921,0.4672,0,0,0,36.75,0.4267,0.6285,0.7428,0,0.1548,0,0,0,5.3067,0,1.6415,0,0,1.21,0,9.5681,28.9017
"CBT:TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"CBT:cognitive training",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0099,0,0
"CBT:hypnotherapy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999,0,0
"CBT:neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"CBT:no treatment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999,0,0
"CBT:psychoeducation",8.6888,7.0969,0,0,0,1.1975,6.4817,9.5482,11.2847,0,2.3517,0,0,0,3.2489,0,1.1305,0,0,41.58,0,6.1935,1.1975
"CBT:relaxation therapy",6.7064,0.221,0,0,0,0.82,0.2019,0.2974,0.3515,0,0.0732,0,0,0,2.5076,0,39.1405,0,0,0.5725,0,48.288,0.82
"CBT:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"CBT:waiting list",41.4633,0.9099,0,0,0,3.805,0.831,1.2242,1.4468,0,0.3015,0,0,0,15.5039,0,3.5968,0,0,2.3567,0,24.746,3.805
"DBT + TAU:TAU",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"DBT:waiting list",6.5396,0.2152,0,0,0,13.3175,0.1966,0.2896,0.3423,0,0.0713,0,0,0,2.4453,0,0.7564,0,0,0.5575,0,4.4088,70.86
"cognitive placebo:cognitive training",0,0,0,32.7254,0,0,0,0,0,0,0,0,0,40.1576,0,0,0,0,27.117,0,0,0,0
"cognitive training:hypnotherapy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899,0,0
"cognitive training:no treatment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9899,0,0
"hypnotherapy:no treatment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"mindfulness + TAU:TAU",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"mindfulness:psychoeducation",2.7991,31.3465,0,0,0,0.385,2.0872,3.0747,49.8435,0,0.7573,0,0,0,1.0466,0,0.3632,0,0,5.9192,0,1.9927,0.385
"mindfulness:waiting list",2.3352,1.9073,0,0,0,0.3225,29.7256,43.7891,3.0327,0,10.7853,0,0,0,0.8732,0,0.3034,0,0,4.94,0,1.6633,0.3225
"neurofeedback:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"relaxation therapy:waiting list",14.0253,0.4614,0,0,0,1.7167,0.4214,0.6207,0.7336,0,0.1529,0,0,0,5.2443,0,14.8534,0,0,1.195,0,58.8487,1.7167
"Indirect estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CBT + TAU:DBT",7.096,0.3114,0,0,12.5058,12.25,0.2844,0.419,0.4952,0,0.1032,0,14.6984,0,2.6533,27.2042,0.9849,0,0,0.8067,0,5.2232,14.9542
"CBT + TAU:DBT + TAU",0,0,0,0,22.985,0,0,0,0,0,0,50,27.015,0,0,0,0,0,0,0,0,0,0
"CBT + TAU:cognitive placebo",0,0,0,7.358,10.3359,0,0,0,0,0,0,0,12.1481,9.029,0,22.484,0,0,6.097,0,32.548,0,0
"CBT + TAU:cognitive training",0,0,0,0,13.3967,0,0,0,0,0,0,0,15.7456,0,0,29.1423,0,0,0,0,41.715300000000006,0,0
"CBT + TAU:hypnotherapy",0,0,0,0,13.3541,0,0,0,0,0,0,0,15.6954,0,0,29.0495,0,0,0,0,41.900999999999996,0,0
"CBT + TAU:mindfulness",8.6145,2.1978,0,0,11.0944,1.266,6.5028,9.5793,3.4947,0,2.3594,0,13.0396,0,3.2211,24.134,1.196,0,0,5.6925,0,6.341900000000001,1.266
"CBT + TAU:mindfulness + TAU",0,0,0,0,22.985,0,0,0,0,50,0,0,27.015,0,0,0,0,0,0,0,0,0,0
"CBT + TAU:neurofeedback",0,0,0,0,14.0442,0,0,0,0,0,0,0,16.5066,0,0,30.5508,0,38.8983,0,0,0,0,0
"CBT + TAU:no treatment",0,0,0,0,13.5123,0,0,0,0,0,0,0,15.8814,0,0,29.3937,0,0,0,0,41.2127,0,0
"CBT + TAU:psychoeducation",5.2133,4.3425,0,0,11.5418,0.7983,3.966,5.8424,6.9049,0,1.439,0,13.5655,0,1.9493,25.1073,0.7536,0,0,13.86,0,3.9177999999999997,0.7983
"CBT + TAU:relaxation therapy",3.3532,0.1474,0,0,14.1038,0.492,0.1346,0.1983,0.2343,0,0.0488,0,16.5766,0,1.2538,30.6803,13.0468,0,0,0.3817,0,18.8565,0.492
"CBT + TAU:sham + neurofeedback",0,0,0,0,14.0553,0,0,0,0,0,0,0,16.5197,0,0,30.575,0,38.85,0,0,0,0,0
"CBT + TAU:waiting list",13.8211,0.5459,0,0,14.0905,1.9025,0.4986,0.7345,0.8681,0,0.1809,0,16.561,0,5.168,30.6515,1.7984,0,0,1.414,0,9.8525,1.9025
"CBT + stimulants:CBT + TAU",0,0,33.3333,0,15.3233,0,0,0,0,0,0,0,18.01,0,0,33.3333,0,0,0,0,0,0,0
"CBT + stimulants:DBT",9.4614,0.3737,38.0555,0,0,18.375,0.3413,0.5028,0.5943,0,0.1238,0,0,0,3.5378,0,1.2311,0,0,0.968,0,6.744700000000001,19.6805
"CBT + stimulants:DBT + TAU",0,0,33.3333,0,0,0,0,0,0,0,0,33.3333,0,0,0,33.3333,0,0,0,0,0,0,0
"CBT + stimulants:TAU",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
"CBT + stimulants:cognitive placebo",0,0,29.1423,9.537,0,0,0,0,0,0,0,0,0,11.7028,0,0,0,0,7.9025,0,41.715300000000006,0,0
"CBT + stimulants:cognitive training",0,0,41.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.375,0,0
"CBT + stimulants:hypnotherapy",0,0,41.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.56,0,0
"CBT + stimulants:mindfulness",11.486,2.9304,31.89,0,0,1.5825,8.5686,12.6225,4.6596,0,3.1089,0,0,0,4.2948,0,1.495,0,0,7.59,0,8.1892,1.5825
"CBT + stimulants:mindfulness + TAU",0,0,33.3333,0,0,0,0,0,0,33.3333,0,0,0,0,0,33.3333,0,0,0,0,0,0,0
"CBT + stimulants:neurofeedback",0,0,44.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.565000000000005,0,0,0,0,0
"CBT + stimulants:no treatment",0,0,42.1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8791,0,0
"CBT + stimulants:psychoeducation",6.5166,5.3859,34.74,0,0,0.958,4.919,7.2462,8.5641,0,1.7848,0,0,0,2.4367,0,0.9044,0,0,20.79,0,4.7964,0.958
"CBT + stimulants:relaxation therapy",4.4709,0.1768,44.8113,0,0,0.615,0.1615,0.2379,0.2812,0,0.0586,0,0,0,1.6718,0,19.5702,0,0,0.458,0,26.8718,0.615
"CBT + stimulants:sham + neurofeedback",0,0,44.4833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5166,0,0,0,0,0
"CBT + stimulants:waiting list",20.7317,0.6824,44.7558,0,0,2.5367,0.6233,0.9181,1.0851,0,0.2261,0,0,0,7.7519,0,2.3979,0,0,1.7675,0,13.9769,2.5367
"CBT:CBT + TAU",0,0,0,0,22.985,0,0,0,0,0,0,0,27.015,0,0,50,0,0,0,0,0,0,0
"CBT:DBT + TAU",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0
"CBT:cognitive placebo",0,0,0,13.622,0,0,0,0,0,0,0,0,0,16.7156,0,0,0,0,11.2875,0,58.375,0,0
"CBT:mindfulness",17.2289,4.3956,0,0,0,2.11,12.5984,18.5589,6.9894,0,4.5711,0,0,0,6.4422,0,1.9934,0,0,11.385,0,11.6171,2.11
"CBT:mindfulness + TAU",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0
"DBT + TAU:hypnotherapy",0,0,0,0,0,0,0,0,0,0,0,29.0495,0,0,0,29.0495,0,0,0,0,41.900999999999996,0,0
"DBT + TAU:mindfulness",8.6145,2.1978,0,0,0,1.266,6.5028,9.5793,3.4947,0,2.3594,24.134,0,0,3.2211,24.134,1.196,0,0,5.6925,0,6.341900000000001,1.266
