"random SMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"Mixed estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DBT + placebo:DBT + stimulants",0.0025,0,0,0,0,0.0036,0,0.0005,0.0049,0,0,0.0037,0,0.0009,0.0041,0.0038,0.0006,0.0005,0.001,0.0042,0.0005,0,0,0,0.0035,0.0009,99.965
"DBT + placebo:placebo",1.4842,0,0,0,0.1852,2.1084,0,0.2678,2.9025,0,0,2.2088,0,0.516,2.425,2.2483,0.5768,0.47240000000000004,0.5634,2.4981,0.3062,0,0,0,2.0847,0.52,78.63220000000001
"DBT + placebo:stimulants",1.4149,0,0,0,0.1767,2.0098,0,0.2553,2.7669,0,0,2.1056,0,0.4918,2.3117,2.1432,0.5499999999999999,0.4499,0.5371,2.3813,0.2919,0,0,0,1.9873,0.4957,79.6409
"DBT + stimulants:placebo",1.4905,0,0,0,0.1831,2.1173,0,0.269,2.9148,0,0,2.2182,0,0.5181,2.4353,2.2578,0.5751999999999999,0.47350000000000003,0.5658,2.5086,0.3075,0,0,0,2.0935,0.5222,78.53930000000001
"DBT + stimulants:stimulants",1.4124,0,0,0,0.1725,2.0063,0,0.2549,2.7619,0,0,2.1019,0,0.491,2.3075,2.1394,0.5436,0.4494,0.5362,2.3771,0.2914,0,0,0,1.9837,0.4948,79.67590000000001
"atomoxetine:placebo",0,9.7064,17.4618,20.6943,0,0,18.402,0,0,0,3.0509,0,14.6943,0,0,0,0,0,0,0,0,0,1.8891,14.1012,0,0,0
"bupropion:placebo",0,0,0,0,0,0,0,0,0,37.0709,0,0,0,0,0,0,0,0,0,0,0,62.9291,0,0,0,0,0
"guanfacine:placebo",1.6148,0,0,0,0.247,2.2938,0,0.2914,3.1577,0,0,2.403,0,0.5613,2.6382,2.446,0.6887,73.9276,0.613,2.7177,0.3332,0,0,0,2.268,0.5658,3.2328
"guanfacine:stimulants",1.5064,0,0,0,0.2328,2.1399,0,0.2718,2.9459,0,0,2.2418,0,0.5237,2.4612,2.2819,0.6456,75.6747,0.5719,2.5354,0.3108,0,0,0,2.1158,0.5278,3.0126
"modafinil:placebo",0.5917,0,0,0,69.2908,0.8406,0,0.1068,1.1572,0,0,0.8806,0,0.2057,0.9668,0.8963,21.2896,0.2066,0.2246,0.9959,0.1221,0,0,0,0.8311,0.2073,1.1863
"modafinil:stimulants",2.5294,0,0,0,33.089,3.5931,0,0.4565,4.9464,0,0,3.7643,0,0.8793,4.1326,3.8315,26.6507,0.8822,0.9602,4.2572,0.5219,0,0,0,3.5527,0.8862,5.0668
"placebo:stimulants",6.2423,0,0,0,0.7196,8.8673,0,1.1265,12.2072,0,0,9.2897,0,2.17,10.1988,9.4556,2.3455,1.9145,2.3697,10.5062,1.288,0,0,0,8.7676,2.1871,10.3443
"Indirect estimates","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DBT + placebo:guanfacine",0.0082,0,0,0,0,0.0117,0,0.0015,0.0161,0,0,0.0122,0,0.0029,0.0134,0.0125,0.0018,45.7682,0.0031,0.0138,0.0017,0,0,0,0.0116,0.0029,54.1185
"DBT + placebo:modafinil",0.6046,0,0,0,27.3314,0.8589,0,0.1091,1.1824,0,0,0.8998,0,0.2102,0.9879,0.9159,14.6438,0.21289999999999998,0.2295,1.0177,0.1248,0,0,0,0.8492,0.2118,49.599999999999994
"DBT + stimulants:guanfacine",0.0062,0,0,0,0,0.0088,0,0.0011,0.0121,0,0,0.0092,0,0.0021,0.0101,0.0093,0.0014,45.8344,0.0023,0.0104,0.0013,0,0,0,0.0087,0.0022,54.07039999999999
"DBT + stimulants:modafinil",0.6085,0,0,0,27.3488,0.8643,0,0.1098,1.1899,0,0,0.9055,0,0.2115,0.9941,0.9217,14.652700000000001,0.2096,0.231,1.0241,0.1255,0,0,0,0.8546,0.2132,49.525000000000006
"atomoxetine:DBT + placebo",1.0085,3.7562,6.7573,8.0082,0.1482,1.4326,7.1212,0.182,1.9722,0,1.1806,1.5008,5.6864,0.3506,1.6477,1.5276,0.422,0.3457,0.3828,1.6974,0.2081,0,0.731,5.4568,1.4165,0.3533,46.706199999999995
"atomoxetine:DBT + stimulants",1.0123,3.7582,6.761,8.0126,0.1465,1.4379,7.1251,0.1827,1.9796,0,1.1813,1.5064,5.6895,0.3519,1.6539,1.5334,0.4205,0.34640000000000004,0.3843,1.7037,0.2089,0,0.7314,5.4598,1.4218,0.3547,46.626400000000004
"atomoxetine:bupropion",0,4.8532,8.7309,10.3471,0,0,9.201,0,0,18.5355,1.5254,0,7.3472,0,0,0,0,0,0,0,0,31.4645,0.9445,7.0506,0,0,0
"atomoxetine:guanfacine",1.0765,3.9889,7.1759,8.5043,0.1852,1.5292,7.5623,0.1943,2.1052,0,1.2538,1.602,6.0386,0.3742,1.7588,1.6306,0.4869,41.2889,0.4087,1.8118,0.2221,0,0.7763,5.7949,1.512,0.3772,2.3413999999999997
"atomoxetine:modafinil",0.3945,4.5405,8.1684,9.6804,34.6454,0.5604,8.6082,0.0712,0.7714,0,1.4272,0.5871,6.8738,0.1371,0.6445,0.5976,12.2198,0.1461,0.1498,0.6639,0.0814,0,0.8837,6.5963,0.5541,0.1382,0.8592
"atomoxetine:stimulants",3.1212,4.7082,8.47,10.0379,0.4798,4.4336,8.9261,0.5632,6.1036,0,1.4799,4.6449,7.1276,1.085,5.0994,4.7278,1.3345,1.0888,1.1848,5.2531,0.644,0,0.9163,6.8399,4.3838,1.0936,6.2531
"bupropion:DBT + placebo",1.0085,0,0,0,0.1482,1.4326,0,0.182,1.9722,14.3456,0,1.5008,0,0.3506,1.6477,1.5276,0.422,0.3457,0.3828,1.6974,0.2081,24.3521,0,0,1.4165,0.3533,46.706199999999995
"bupropion:DBT + stimulants",1.0123,0,0,0,0.1465,1.4379,0,0.1827,1.9796,14.3535,0,1.5064,0,0.3519,1.6539,1.5334,0.4205,0.34640000000000004,0.3843,1.7037,0.2089,24.3655,0,0,1.4218,0.3547,46.626400000000004
"bupropion:guanfacine",1.0765,0,0,0,0.1852,1.5292,0,0.1943,2.1052,15.2343,0,1.602,0,0.3742,1.7588,1.6306,0.4869,41.2889,0.4087,1.8118,0.2221,25.8607,0,0,1.512,0.3772,2.3413999999999997
"bupropion:modafinil",0.3945,0,0,0,34.6454,0.5604,0,0.0712,0.7714,17.3412,0,0.5871,0,0.1371,0.6445,0.5976,12.2198,0.1461,0.1498,0.6639,0.0814,29.4372,0,0,0.5541,0.1382,0.8592
"bupropion:stimulants",3.1212,0,0,0,0.4798,4.4336,0,0.5632,6.1036,17.9816,0,4.6449,0,1.085,5.0994,4.7278,1.3345,1.0888,1.1848,5.2531,0.644,30.5243,0,0,4.3838,1.0936,6.2531
"guanfacine:modafinil",0.682,0,0,0,29.588,0.9688,0,0.1231,1.3337,0,0,1.015,0,0.2371,1.1143,1.0331,15.0589,44.619600000000005,0.2589,1.1479,0.1407,0,0,0,0.9579,0.239,1.4822000000000002
